x	y	z	number	x_step	y_step	z_step	vol	k	phi	n	alpha (1/P)	Sr	Water_source	Q (vol/t)	Gas_source	F (mass/t)	alpha_L	P	S	X_A	X_B	C_A	C_B	C_C
0	0	0.19375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.18125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.16875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.15625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.14375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.13125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.11875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.10625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.09375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.08125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.06875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.05625	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.04375	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.03125	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.01875	1	0	0	0	0.0125	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
0	0	0.00625	1	0	0	0	1.00E+20	1.00E-14	0.25	2	2.00E-04	0.2	1	0	1	0	0	101300	0.25	1	0	0	0	0
